,Reviews,Sentiment
15,"

We're so glad to hear that! We take great pride in providing our guests with an exceptional experience and provide the best service possible. Thank you for taking the time to leave a positive review. We look forward to welcoming you back to our hotel soon!",1
16," The room was very clean and spacious. The staff was friendly and helpful. The amenities in the room were great and we liked that the hotel had a pool and fitness center. The breakfast buffet was also good and had a lot of variety. Overall, we had a great stay here.",1
17," The rooms were clean and comfortable, and the staff was really friendly and helpful. They had a great breakfast buffet and the location was perfect for exploring the city. I would definitely stay there again.",1
18, The staff was very friendly and accommodating. The rooms were clean and comfortable. The breakfast buffet was delicious and had a great selection. The location was also very convenient - it was close to many attractions and shopping centers. I would definitely recommend this hotel to anyone looking for a great place to stay.,1
19," The rooms were modern, clean and comfortable. The beds were very comfortable and the staff were friendly and helpful. The location was perfect for our needs as it was close to restaurants, stores, and attractions. The breakfast buffet was delicious and the hotel had a nice pool and hot tub. Overall the hotel provided great value for the price we paid and we enjoyed our stay.",1
20," The location was perfect, being close to the major attractions and the shopping mall. The staff was very friendly and knowledgeable. The rooms were clean and comfortable. The breakfast was excellent, with a wide selection of fresh fruits, cereals, pastries, and hot items. All in all, a great experience and highly recommended.",1
21," I would definitely stay here again. The hotel staff were friendly and accommodating, the rooms were clean and comfortable. The food was delicious, the amenities were great and the location was convenient to local attractions. We were in walking distance of many shops and restaurants, as well as tourist spots. I would highly recommend this hotel for a great stay.",1
22," The staff were friendly and helpful, the room was clean and comfortable, and the breakfast selection was excellent. The location was also very convenient, with plenty of nearby restaurants, shops, and bars. It was definitely a great choice for my stay.",1
23," The rooms were spacious, comfortable, and had all the modern amenities I was looking for. The service staff was very friendly and helpful, and the breakfast served each morning was delicious. I would definitely recommend this hotel to anyone looking for a great place to stay.",1
24," The staff was very attentive. The rooms were clean and comfortable. The food was delicious. The location was great, close to attractions and restaurants. There was a selection of activities available and the pool area was well maintained. Would definitely stay here again.",1
25," The rooms were spacious and well-kept. The beds were comfortable and the staff was friendly and helpful. The pool was nice and clean and the fitness center was well-equipped. Overall, the hotel was an excellent choice for a pleasant stay.",1
26," We arrived late at night and the front desk was very helpful. The room was clean and spacious, with all the amenities you need. The bed was comfortable and the restaurant offered good breakfast. The staff was friendly and attentive and the overall experience was positive. Highly recommend!",1
27," The rooms were clean and spacious. The beds were comfortable and the staff were friendly and helpful. The pool was well-maintained and the WiFi was reliable. The breakfast buffet was delicious, and there were lots of delicious options available. I also enjoyed the spa and its treatments. Overall, I had a wonderful stay at this hotel and would highly recommend it.",1
28," The staff were polite and attentive, the rooms were clean and modern and the amenities were top notch. We paid for a suite which gave us access to the pool, spa and business center. The food in the restaurant and bar was delicious and had a great selection. Even though we were on a business trip, we still had plenty of time to relax and enjoy the hotel. Highly recommended.",1
29," Very clean and the staff was very polite. They also had great customer service. The rooms were very comfortable and the beds were great. The breakfast was nice and had a nice selection of food. Overall, great stay and would recommend it.",1
30," The staff was polite and helpful, the room was clean and modern, and the breakfast was delicious. There was lots of variety and the food was always fresh and hot. The hotel was also conveniently located near lots of shops and places to eat. Overall, it was a great experience and I would definitely stay there again.",1
31," The staff were so friendly and helpful. The room was clean and comfortable, and the amenities were excellent. The food at the restaurant was delicious and the bar had a great selection of drinks. We had an excellent stay and would definitely recommend this hotel to others.",1
32," The staff was friendly and helpful. The room was large and comfortable. The bed was very comfortable, and the hotel had all of the amenities we needed. The pool was great and the breakfast was delicious. The location was perfect, close to shopping and restaurants. Overall, I would highly recommend this hotel to anyone looking for a great stay in the area.",1
33," The staff were friendly, the breakfast was delicious and the overall appearance of the hotel was inviting. The room was clean, spacious and had all the necessary amenities. The decoration was stylish and made us feel right at home. The location was also convenient, being located close to the beach and other attractions. We had an amazing stay and would definitely recommend this hotel to our friends and family.",1
34," The staff was friendly, the rooms were clean, and the atmosphere was inviting. The hotel offered many amenities, such as a pool and spa, restaurant, gym, and conference spaces. The amenities made the stay much more enjoyable and comfortable. The location was great too — with easy access to restaurants, shops, and attractions in the area. I overall had a fantastic experience and definitely recommend it to anyone visiting the area.",1
35," It was very close to all of the attractions and had all the amenities that I needed for a comfortable stay. The rooms were spacious and clean and the staff was friendly and helpful. Breakfast was included in the stay and the food was delicious. Overall, I had a wonderful stay at this hotel and would recommend it to anyone looking for a relaxing and convenient place to stay.",1
36, The room was very spacious and the staff was very helpful. The atmosphere was very relaxing and the view from the room was beautiful. The breakfast buffet was nice and the restaurant was also good. The location of the hotel was great and close to the city centre. Overall it was a pleasant stay.,1
37," It was clean, elegant and the staff was very friendly and helpful. The rooms were spacious and comfortable with nice amenities. The breakfast was delicious, fresh, and plentiful. The location was good and convenient to easily get to other parts of the city. My overall experience was great and would definitely recommend this hotel to others.",1
38," The room was big, comfortable and clean. The staff were friendly and helpful. The breakfast was delicious and fresh. There was a great pool area and nice garden. There was even a gym and yoga studio. I would highly recommend this hotel to anyone looking for a great stay.",1
39," The room was clean and spacious, with all the facilities that I needed. The staff were friendly and helpful, and the location was convenient for getting around the city. The breakfast buffet was great, with a wide variety of items to choose from. Overall I had a great experience and would definitely stay here again.",1
40," The room was clean, the staff was friendly, and the amenities were fantastic. The pool was great for relaxing after a long day of sightseeing, and the breakfast was really delicious. The location was also convenient, as it was close to a lot of attractions and restaurants. I highly recommend this hotel to anyone looking for a great stay in town.",1
41," The staff was friendly, the rooms were clean and comfortable, and the amenities provided were helpful. There was a great breakfast buffet every morning, and they even served snacks and drinks in the evening. The pool was well kept, and the other amenities such as free WiFi and TV kept us entertained. Overall, we had a great experience and would definitely recommend this hotel to others.",1
42," The staff was friendly and helpful, the rooms were clean and comfortable, and the location was ideal. The hotel was in a nice, quiet area and was within walking distance to local stores and restaurants. The pool was nice and the continental breakfast options were plentiful. The room had plenty of seating and space and was equipped with all the necessary amenities. Overall, it was a great stay.",1
43," The room was spacious and clean and the bed was so comfortable. The staff was friendly and accommodating, making sure all of our needs were taken care of. The location was close to a lot of attractions and there were lots of great restaurants nearby. We would definitely stay here again and recommend it to others.",1
44," The staff was really helpful and friendly. The rooms were nice and clean and the beds were comfortable. The amenities were great, with a pool and a gym. The breakfast was delicious and varied. Overall, it was a great stay and I would recommend it to anyone.",1
45," It had all the amenities I needed including a swimming pool and Wi-Fi. The staff was friendly and responsive. The rooms were clean and up to date. The view of the city skyline was beautiful. The location was perfect, close to restaurants, shops and sightseeing. I would highly recommend this hotel.",1
46," The room was spacious and spotlessly clean. The bed was comfortable and the linens were high-quality. The bathroom was modern and well-maintained. The staff were friendly and helpful and provided great customer service throughout my stay. The breakfast buffet was extensive with a variety of food options. The reception area was luxurious and welcoming. Overall, my stay was great and I would recommend it to anyone looking for a convenient and comfortable stay.",1
47," The staff were very friendly and helpful, the room was clean and comfortable, and the food was delicious. The pool and hot tub were a great way to relax after a long day of sightseeing. There were also many activities to do, such as bike rentals and yoga classes. Overall, I had a wonderful stay at this hotel.",1
48," Everything was clean and up to date. The staff was really friendly and accommodating. The rooms were spacious and comfortable. The food was delicious. The location was great and there were many activities nearby to explore. Overall, my stay was very pleasant and I would recommend this hotel to others.",1
49," The facilities were top-notch, the rooms were spacious and comfortable and the staff was incredibly helpful. The restaurant on site had an amazing menu with plenty of options and the food was delicious. The location was also great; it was close to many attractions and public transportation. Overall, I had a great stay at this hotel and highly recommend it.",1
50," The rooms were spacious, clean and well-maintained. The beds were comfortable and the pillows were soft. The staff were friendly, helpful and attentive. The facilities were great, with a nice pool area, gym and restaurant. The food was good and the drinks were fresh. The location was also great as it was close to the beach and other attractions. Overall, I had a great time staying at this hotel and would highly recommend it to others.",1
51, The staff was friendly and helpful. The rooms were clean and spacious. The food at the restaurant was delicious and the location was perfect for exploring the city. Highly recommend this hotel for a great stay.,1
52," The room was clean and the staff was very helpful and friendly. The location was perfect, close to all the attractions in the area. The breakfast was good and the restaurant had delicious food. Overall, it was an excellent stay and I would highly recommend it.",1
53," The view from the room was stunning. The room was very comfortable with a large king-sized bed and plenty of pillows. The staff were very friendly and accommodating. The breakfast was delicious and the included shuttle service to the airport was a big bonus. Overall, it was an enjoyable stay and I would definitely come back.",1
54, The staff was very friendly and helpful. The room was clean and comfortable with all the amenities one might need. They had an excellent breakfast buffet and the restaurant was really nice. I would highly recommend this hotel to anyone looking for a comfortable stay.,1
55," The location was in a central and easily accessible area, and it was close to several restaurants. The room was very clean and comfortable and spacious. The staff were warm and friendly and always willing to help. They offered great amenities like a gym, Jacuzzi, and free WiFi. The restaurants had delicious food and breakfast was included in the room rate. Overall, it was a great stay and would definitely recommend it to others.",1
56," It had a great view of the mountains and the staff was friendly and helpful. The rooms were well-furnished and clean. The hotel also had excellent amenities, such as a gym, swimming pool, and jacuzzi. The food at the restaurant was good and reasonably-priced. Overall, it was an enjoyable experience and I would definitely stay here again.",1
57," The beds were super comfortable, the service was excellent, the food was delicious, and the decor was beautiful. The staff was friendly and accommodating and the rooms were large and well-maintained. All in all, it was a wonderful experience and we would definitely stay there again.",1
58," The staff were friendly, helpful and always eager to offer assistance with any questions or requests I had. The room was spacious, clean and comfortable. The amenities were excellent and the overall experience was very positive. Highly recommend this hotel to anyone visiting the area.",1
59," The staff was friendly and helpful, the room was spacious and comfortable, and the location was convenient, close to many shops, restaurants, and attractions. The view from the room was also stunning. Breakfast was included each morning, with a variety of options, and the restaurant was very nice, serving high quality and delicious food. Overall, I had a wonderful experience at this hotel and would recommend it to anyone looking for a comfortable stay in the area.",1
60," The staff was friendly and helpful. The rooms were clean and comfortable. The location was perfect - close to the city center and lots of restaurants and shopping. The complimentary breakfast was nice too. Overall, I had a wonderful experience and would definitely stay here again.",1
61," The location was perfect, being close to all the attractions and downtown. The staff was friendly and helpful. The rooms were clean and comfortable. The breakfast buffet was fantastic. The pool and fitness center were both great additions. Overall I would highly recommend this hotel.",1
62," The staff was friendly and helpful, the rooms were comfortable and clean, and the amenities were great. The pool and hot tub were nice, and the breakfast options had a great selection. Overall, it was a great value for the money.",1
63," The beds were comfortable and the staff was friendly. The room was spacious and the view was nice. The amenities were good and there was a great pool area. Breakfast was included which was a nice bonus. The location was convenient and near to many restaurants, bars, and shops. Overall, it was a great stay.",1
64," The staff was friendly and helpful and the rooms were spacious and clean. I especially liked the convenient location, as it was only a few blocks away from many of the best attractions in town. The restaurant at the hotel was also delicious, with a good selection of local cuisine. I would definitely recommend this hotel.",1
65, My room was very clean and comfortable. The staff was friendly and accommodating. The breakfast buffet was delicious and the restaurant had a great selection of food. I would definitely recommend this hotel to others.,1
66," The staff was friendly, the rooms were spotless, and the location was right in the city centre. The beds were comfortable, the breakfast had a great variety of items, and the pool area was beautiful. I would definitely stay here again.",1
67, The room and bathroom were spotless and the service was excellent. The staff was friendly and accommodating to our needs. The pool and hot tub were very nice and the breakfast was delicious. We would definitely stay here again in the future.,1
68," The room was comfortable and the staff was friendly. The breakfast options were good and the location was very convenient. We could walk to all the nearby attractions easily. Overall, the hotel was great and I would definitely stay here again.",1
69, The room was very comfortable and had all the amenities needed to make a great stay. The staff was friendly and helpful. The breakfast was delicious and the location was convenient to many local attractions. I would definitely recommend this hotel to anyone visiting the area.,1
70," The staff were all friendly and helpful, and the rooms were spacious and comfortable. The breakfast was delicious and provided a great selection of items to choose from. The amenities were great with a pool and spa facilities, and the overall atmosphere was relaxed and peaceful. I would definitely recommend this hotel to anyone looking for a comfortable and enjoyable stay.",1
71," The property was beautiful, the rooms 
were comfortable and clean. The breakfast was delicious and the staff 
were friendly and helpful. We enjoyed the pool and the spa was also a 
great touch. The service for the taxi to airport was very efficient 
and helpful. We would definitely stay here again.",1
72," The rooms were spacious and clean, the staff was friendly, and the breakfast was delicious. The location was also convenient. It was a few minutes walk from the train station and there were a variety of restaurants and shops nearby. A great stay overall.",1
73," The service was excellent and the staff were extremely friendly and helpful. The room was large and very clean with modern decor and amenities. The bed was comfortable and the breakfast was delicious. The views of the lake were stunning. Overall, a great stay at this hotel.",1
74," The room was comfortable, the staff was friendly, and the location was convenient. The view from the room was nice and the buffet breakfast included was very good. The hotel offered many amenities, such as a pool and gym, and the Wi-Fi was always reliable. Overall, it was a great hotel and I would definitely recommend it.",1
75," The staff were very friendly and helpful, the rooms were comfortable and spacious, and the amenities were top-notch. I was especially impressed with the quality of the on-site restaurant, which had delicious food and great prices. The pool was large and very clean, and the fitness center was stocked with the latest equipment. Everything was well maintained and there was never any problem with noise or anything else. All in all, this hotel provided an excellent stay.",1
76," The rooms were nicely decorated and the carpets were very clean. The staff was friendly and accommodating. The breakfast buffet was delicious and had a good variety. The pool area was nice and there was plenty of space for everyone. Overall, it was a great stay and I would definitely recommend it.",1
77," The room was spacious and amenities were great. The staff was very friendly and accommodating. The restaurant had great food and drinks. The pool area was clean and had nice views. Overall, a great choice for a stay.",1
78,"  The staff were friendly and helpful, the rooms were clean and comfortable, and the food was delicious. The outdoor pool area was also very nice and a great place to relax. I would definitely stay here again and recommend it to others.",1
79," The room was clean and spacious. The bed was comfortable and the air conditioning was cool. The breakfast buffet was delicious and there was a variety of options. The staff was friendly and welcoming. They even offered helpful recommendations on local attractions. Overall, it was a great experience.",1
80," It was well located near the beach and had good service. the rooms were comfortable and clean. The breakfast was delicious and had plenty of variety. There was also a pool and a hot tub for guests to enjoy. The staff were friendly and helpful. Overall, a great experience and would highly recommend.",1
81, It was conveniently located near many attractions and had a great selection of food and amenities. The staff were friendly and helpful. The rooms were large and comfortable with good air conditioning and plenty of space for all of my luggage. The beds were comfortable and the bedding was of high quality. The hotel also had a nice swimming pool and fitness center which was great for relaxing after a long day. I would definitely recommend staying here.,1
82," The staff was very helpful and the room was clean and comfortable. The location was perfect and close to many restaurants and shops. The breakfast was also good and had a variety of options. Overall, it was a great stay and I would highly recommend it.",1
83," The rooms were spacious and clean, the staff was friendly and accommodating and the food was delicious. The swimming pool was well maintained and there were plenty of activities to do around the hotel. Also, the location was convenient and close to the beach and other tourist attractions.Overall, it was a great stay.",1
84," The room was spacious and clean with a comfortable bed, and the hotel staff were friendly and helpful. The breakfast buffet was nice and had a lot of options and the location was perfect, close to the beach and right in the center of the city. Overall, an excellent stay.",1
85," It was incredibly clean, the staff was incredibly friendly and helpful, and the view from our room was breathtaking. We had a really nice room with a balcony that overlooked the ocean, and it had all the amenities we needed to be comfortable. The breakfast buffet was delicious and had a variety of options to choose from. All in all, it was a wonderful stay and we would definitely stay again.",1
86," The rooms were comfortable and the staff was very friendly and helpful. The breakfast was delicious and there was a great selection of food. The location was very convenient and close to many attractions. The hotel included a pool, sauna, and spa area which were great for relaxation. Overall, we enjoyed our stay and would definitely recommend it to others.",1
87," The staff was friendly and accommodating, the breakfast was delicious and the room was very comfortable. The location was perfect for sightseeing and exploring the city. We especially liked that the hotel had a spa with an indoor pool and a hot tub. Overall, we had a great experience and would definitely stay again!",1
88," The room was clean and comfortable, and the staff was very friendly. The restaurant offered delicious food, and the breakfast buffet was particularly amazing. The location was also great, since it was close to plenty of attractions. We would definitely stay here again.",1
89," It had a very central location, a wide variety of facilities and amenities, and modern, comfortable rooms. The staff was friendly and helpful and always willing to help with any requests. The restaurant in the hotel served delicious food, and there was a variety of activities available. The pool area was always clean and there was plenty of lounge chairs to relax in. Overall, it was a great hotel experience and I would definitely recommend it to friends and family.",1
90," Everything was fantastic and clean. The staff was friendly and helpful. The room was spacious and so were the common areas. The breakfast buffet was plentiful, with lots of options and fresh food. The pool area was also lovely and relaxing. Overall, a very pleasant stay.",1
91," It was very clean, the staff was friendly and accommodating, and the bed was very comfortable. It was also conveniently located close to the attractions we wanted to visit. The breakfast buffet was abundant in selection and the food was cooked fresh and delicious. I would definitely recommend this hotel to others.",1
92," The staff was friendly and the lobby was always bustling. The rooms were comfortable and clean with modern appliances and amenities. The location of the hotel was very convenient, as there were many shops, restaurants, and attractions nearby. The breakfast buffet was well-stocked with a variety of delicious options, and the pool was a nice place to relax after a busy day. The price was also reasonable given the level of service provided. Overall, this hotel was top-notch, and I highly recommend it to anyone looking for a place to stay in the area.",1
93," The room was clean, bright and spacious. The staff were friendly and helpful. They offered some special amenities, like a complimentary breakfast, that really enhanced our stay. The location was convenient and close to some great attractions. We would definitely stay here again.",1
94," The room was really clean and spacious. The staff were friendly and helpful. The breakfast was delicious and had a good variety of food. The location was in a nice area, close to all the local attractions. I would definitely recommend this hotel for any traveler.",1
95," The staff was friendly and helpful. The room was clean and comfortable. The breakfast was good and there was a nice variety of food. The location was great and it was near many restaurants and shops. Overall, it was a great experience and I would highly recommend this hotel to anyone looking for a pleasant stay.",1
96," The staff was friendly and helpful and the rooms were clean and comfortable. The breakfast was delicious and the pool was a perfect way to relax after a long day. Overall, I had a wonderful experience at the hotel and would definitely stay there again.",1
97," The room was nice and clean. The beds were comfortable and the staff was friendly and helpful. The location was excellent, close to many attractions and restaurants. The breakfast was delicious and had a good selection. Overall, I had a great stay and would definitely recommend this hotel to others.",1
98," The room was large and comfortable, with plenty of amenities. The staff were friendly and helpful, and the location was excellent, with several great restaurants and attractions within walking distance. Additionally, the hotel had an outdoor pool and a fitness center, which was a great way to relax and get some exercise after a long day of sightseeing. All in all, I enjoyed my stay here and would definitely recommend it to other travelers.",1
99," The staff was friendly, the room was spacious, and the amenities were excellent. The breakfast buffet had a wide variety of options to choose from, and there were even some special dishes that really added to the experience. The location was perfect for exploring the city, and the nearby parks and beaches were easily accessible. Overall, this was a great stay and I would certainly recommend it to anyone looking for a hotel in the area.",1
100, The staff was friendly and helpful. The food was delicious and they had lots of activities to keep you entertained. The rooms were clean and comfortable. The location was close to everything and the pool area was really nice. Overall we had a great stay and would definitely recommend it!,1
101, It was just off the main street and the location was perfect. We were able to walk to all the attractions in the area. The rooms were nice and clean and the staff was friendly and helpful. The continental breakfast was quite delicious and we could also take advantage of the on-site swimming pool and gym. We were very impressed with this hotel.,1
102," Located in the heart of the city, it was surrounded by great restaurants, shopping and attractions. The staff was extremely friendly and accommodating. The rooms were very clean and comfortable. The breakfast buffet was amazing and had plenty of options for every taste. Highly recommended for a great stay!",1
103," The rooms were clean, the staff was friendly, and the amenities were top-notch. The pool area was beautiful, with plenty of seating and a great view. The breakfast buffet was amazing and had a variety of options. The lobby was a great place to spend time, with plenty of seating, a bar, and great decor. We would definitely stay here again!",1
104," The staff were very friendly and helpful. The rooms were clean  and spacious. The beds were comfortable and the linens were nice. The breakfast buffet had a great variety of foods. The pool was nice and the hot tub was a great way to relax after a long day. The location was perfect, close to shopping and downtown attractions. Overall a great place to stay and would definitely go back.",1
105," The staff were kind, helpful and very professional. The rooms were clean and comfortable, and the breakfast was delicious. The location was great too, with easy access to public transportation and the city centre. I highly recommend this hotel for all travellers.",1
106," The rooms were comfortable and the amenities were modern. The staff was friendly and helpful, and they offered great local tips on where to eat and what to do. Overall, I had a great experience and would definitely come back again.",1
107," The room was clean and comfortable and had all the amenities I needed. The staff was extremely friendly and helpful. The breakfast buffet was delicious, with a variety of options. There was a pool to take a dip in, a fitness centre with modern equipment, and nearby sights to explore. Overall, it was an enjoyable stay.",1
108," The staff was extremely helpful and friendly. The room was very clean and comfortable, and the breakfast was delicious. The location was great, close to all the local attractions and walking distance to the beach. All in all, it was a fantastic stay and I would definitely recommend this hotel.",1
109," It was clean, spacious, and in a convenient location. The staff were incredibly friendly and helpful. The breakfast buffet was delicious and had many options. The pool was great for cooling off after a hot day and we were able to access the beach from the hotel. We would definitely stay here again in the future.",1
110," The room was clean and spacious and the customer service was great. Everyone at the hotel was friendly and helpful. The location was great too, close to shopping and restaurants.",1
111," The staff was friendly, the rooms were clean, and it had a great view. The location was perfect for sightseeing and exploring the city. The restaurant offered a great selection of food, and the breakfast buffet was delicious.
The hotel also had a pool, a fitness center, and a business center. They offered several different packages depending on the type of stay. Overall, we had a wonderful experience at this hotel and would definitely stay here again.",1
112, The staff was friendly and helpful. I especially liked the complimentary breakfast that was offered. The room was comfortable and modern. The location was also close to many attractions. I would definitely recommend this hotel and will stay again in the future.,1
113, The staff was friendly and accommodating. The rooms were clean and modern. The breakfast was delicious and fresh. The hotel was close to many attractions and the overall atmosphere was really peaceful and tranquil. We would definitely stay here again!,1
114, The staff was very friendly and helpful. The room was clean and comfortable. The breakfast was delicious and there was a good variety of food. The pool and hot tub were very nice and relaxing. I would recommend this hotel to anyone looking for a good value.,1
115," The staff was friendly and helpful, the rooms were spacious, and the breakfast was delicious. The hotel also had a beautiful garden area where you could sit and relax. I would definitely recommend this hotel to friends and family.",1
116," The staff was friendly, the room was clean, and the breakfast buffet was excellent. The location of the hotel was also convenient, as it was close to both the airport and downtown. The hotel itself also had a lot of amenities and was well-maintained. All in all, it was a great experience.",1
117," It was conveniently located to all the attractions in town. The staff were very friendly and helpful, and the rooms were clean and comfortable. The breakfast was also great and offered a selection of hot and cold items. We would definitely stay here again!",1
118," The staff were friendly and helpful, the rooms were clean and very comfortable, and the amenities were excellent. The breakfast buffet was fantastic and the restaurant served delicious food. The location was excellent as it was close to attractions, restaurants and bars. Overall, it was a great experience and I would highly recommend it.",1
119," The room was very clean and the staff was very friendly. The location was convenient and the food was spectacular. The pool and hot tub were nice and gave us a wonderful place to relax. Overall, we had a great experience and would highly recommend this hotel.",1
120," The staff were very helpful, the rooms were comfortable, and the breakfast was delicious. The hotel was also within walking distance to the nearby attractions. It was very clean and the amenities were top notch. The pool area was also nice and spacious. I would definitely recommend this hotel to others.",1
121," The staff was extremely friendly and helpful, the room was spacious and clean, and the food was delicious. There was a great variety of amenities, including a pool and gym, and the location was convenient to nearby attractions. The breakfast options were plentiful and I especially enjoyed the omelette station. Overall, it was a pleasant stay and I would recommend it to others.",1
122," It had a comfortable bed, great view from the room, and helpful staff. The room was clean and the bathroom was really spacious. There were plenty of amenities in the room, including a refrigerator and a microwave. The breakfast was good, with a variety of options. overall, it was a great experience.",1
123, The rooms were clean and modern. The beds were comfortable and the location was close to the attractions we wanted to visit. The staff were really friendly and helpful. The breakfast was good too. We would definitely stay here again.,1
124," The rooms were nice and spacious and the staff was friendly and accommodating. The breakfast buffet had a good variety of food and the restaurant had good food. The pool area was also nice and the hot tub was a nice relaxing addition. Overall, it was a good stay.",1
125," I stayed here for a few nights and it was a great experience. The staff were friendly and helpful and always willing to help with any queries I had. The room was spacious and clean and the beds were comfortable. The breakfast was delicious and had a good variety of options. Overall, it was a great stay and I would definitely recommend this hotel to others.",1
126," The staff was very friendly and helpful. They made sure I had everything I needed and the room was very comfortable. The location was central and convenient for sight seeing. The breakfast buffet had a wide selection of items, and the restaurant was great for dinner. Overall, it was a great experience and I would definitely stay here again.",1
127, The staff was friendly and helpful. The rooms were clean and comfortable. Breakfast was delicious and there was a variety of food choices. The location was perfect as it was close to many attractions and convenient for exploring the area. Overall it was a great experience and I would highly recommend this hotel.,1
128," It was in a central location and close to many attractions. It was also very clean and the staff was friendly and helpful. The rooms were spacious and comfortable. The breakfast buffet was delicious. Overall, it was a great stay!",1
129, The location was fantastic (right off the beach and easy walking access to the city centre). The service was excellent and everyone was very friendly and helpful. The accommodations were very comfortable and clean. The breakfast buffet was also great with a wide variety of options. This hotel was definitely a great stay for the money.,1
130," The location was a perfect spot to explore the city. I had a great view of the cityscape. The rooms were clean and had all the necessary amenities. The staff were extremely friendly and helpful. The breakfast buffet was really good and had a variety of items to choose from. Overall, it was a great stay and I would definitely come back here.",1
131," The staff was friendly and helpful, the room was clean and comfortable, and the location was convenient. The restaurant was good too, with tasty food and a good selection. The bar was nice as well, with a good variety of drinks. Overall, I had a great stay and would definitely come back.",1
132,"

I'm so glad to hear that you had a great experience at the hotel! It's always rewarding to hear a positive review from a happy guest. Thank you for taking the time to let us know that you enjoyed your stay. We hope to see you again soon!",1
133," I stayed here for a week and had no complaints. The beds were comfy and the room was spacious. I even had a view of the city. The breakfast buffet was the highlight of the hotel, offering a variety of different meals that my friends and I enjoyed. The staff was very friendly and accommodating to our needs. All in all, this was a great stay and I would definitely come back.",1
134, The room was very comfortable and clean. The staff were friendly and helpful. The breakfast was good and there was a nice selection of food. The location was close to the city center and there were lots of restaurants and shops nearby.,1
135," The staff was friendly and the rooms were very clean and spacious. The breakfast was delicious and the pool was great. The location was perfect, close to all the local attractions and restaurants. Overall, I had a great stay and would definitely recommend this hotel to others.",1
136," The rooms were clean and spacious, and the staff was friendly and helpful. The amenities were great, including a fitness center and a pool. The location was also convenient, being close to many shops, restaurants, and other attractions. The hotel was also close to public transportation, making it easy to get around. Overall, I had a great stay at this hotel and would highly recommend it to others.",1
137,"

Thank you for taking the time to share your positive experience with us. We are so pleased to hear that you enjoyed your stay at our hotel and hope you will stay with us again soon.",1
